epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1022,0.92897,0.9803,2.80844,1.07482,0.42743,0.36,0.38855,0.24723,0.55993,0.44,0.52989,0.35987,0.79216,0.35189,6.90498,0.77834,0.00065625,0.00065625,0.00065625
2,21.3219,1.16249,0.85424,2.32362,1.17911,0.17175,0.6,0.13932,0.0935,0.15318,0.56,0.13016,0.0913,1.03732,0.59241,13.2078,1.08635,0.00131637,0.00131637,0.00131637
3,30.5865,1.26131,0.78005,2.1542,1.22944,0.30102,0.36,0.26104,0.09816,0.38415,0.52,0.38279,0.20714,1.45838,0.21024,16.923,1.72368,0.00196989,0.00196989,0.00196989
4,39.8394,1.30019,0.70942,2.00928,1.31853,0.14244,0.36,0.09805,0.02939,0.08031,0.16,0.03847,0.01371,1.86234,3.24453,16.0318,1.99829,0.0019703,0.0019703,0.0019703
5,47.6384,1.22595,0.7072,1.95594,1.24216,0.36339,0.66236,0.44073,0.26836,0.39295,0.72509,0.48111,0.37829,1.03018,0.20737,6.79163,0.94399,0.0019604,0.0019604,0.0019604
6,56.8167,1.35481,0.71628,1.90793,1.25905,0.22173,0.6,0.33328,0.18897,0.24988,0.68,0.42733,0.33632,1.22574,0.21377,67.1356,1.13922,0.0019505,0.0019505,0.0019505
7,65.5336,1.18807,0.65109,1.87581,1.21154,0.67516,0.52,0.60992,0.31152,0.56024,0.84,0.77421,0.51035,1.28032,0.18601,6.31603,1.40408,0.0019406,0.0019406,0.0019406
8,73.782,1.246,0.63126,1.54049,1.24703,0.42384,0.72,0.57475,0.34787,0.43797,0.76,0.62354,0.5099,1.01454,0.15782,3.70438,0.98442,0.0019307,0.0019307,0.0019307
9,83.0132,1.19267,0.64323,1.51387,1.21166,0.51555,0.68,0.54166,0.34182,0.51555,0.68,0.54541,0.34668,1.0004,0.23444,10.5594,1.01105,0.0019208,0.0019208,0.0019208
10,91.0321,1.18825,0.63718,1.59167,1.21393,0.55768,0.70633,0.63567,0.36559,0.55242,0.69142,0.66887,0.38814,1.07074,0.31333,3.08011,1.03729,0.0019109,0.0019109,0.0019109
11,99.9959,1.06895,0.56183,1.3651,1.14896,0.516,0.84,0.72062,0.44295,0.56246,0.77155,0.6979,0.56324,0.93867,0.17487,3.85429,0.94955,0.001901,0.001901,0.001901
12,109.19,1.06376,0.53635,1.42108,1.16798,0.653,0.75296,0.76341,0.52776,0.63794,0.8,0.77766,0.64074,1.02172,0.22311,11.2151,1.17122,0.0018911,0.0018911,0.0018911
13,117.253,1.08878,0.53869,1.324,1.17292,0.49354,0.72,0.57781,0.34305,0.46342,0.68,0.55901,0.43077,0.98738,0.20483,2.97694,1.05875,0.0018812,0.0018812,0.0018812
14,126.448,1.14162,0.58533,1.31519,1.20854,0.54807,0.56,0.61284,0.38587,0.57631,0.59855,0.6462,0.52479,0.96514,0.18245,1.58787,1.00684,0.0018713,0.0018713,0.0018713
15,135.535,1.0195,0.56587,1.45264,1.1553,0.60932,0.81127,0.68389,0.41032,0.63579,0.88,0.68943,0.52657,0.88373,0.21083,2.18226,0.89618,0.0018614,0.0018614,0.0018614
16,143.471,1.03624,0.60865,1.29498,1.14825,0.69209,0.44,0.58459,0.41203,0.77831,0.44,0.60764,0.52824,0.96682,0.18338,1.89146,0.98909,0.0018515,0.0018515,0.0018515
17,152.758,1.06223,0.59565,1.36686,1.16077,0.73931,0.68,0.71917,0.49715,0.78504,0.72,0.76871,0.57234,0.87,0.16758,3.17259,0.9644,0.0018416,0.0018416,0.0018416
18,161.589,0.99524,0.54667,1.15974,1.09594,0.60754,0.8,0.75478,0.49032,0.66529,0.87471,0.79888,0.67055,0.81252,0.14446,2.8266,0.85347,0.0018317,0.0018317,0.0018317
19,169.901,0.94545,0.53102,1.18822,1.1137,0.77689,0.64,0.8057,0.55838,0.73526,0.68,0.81528,0.67837,0.84,0.12751,8.00981,0.92488,0.0018218,0.0018218,0.0018218
20,179.156,0.94266,0.57537,1.2917,1.0853,0.80954,0.4,0.50963,0.37285,0.77874,0.42307,0.55587,0.41155,1.05851,0.44452,4.25249,1.06463,0.0018119,0.0018119,0.0018119
21,187.575,0.93563,0.54525,1.3205,1.08351,0.66,0.76,0.77096,0.56168,0.77961,0.70787,0.80253,0.65902,0.89394,0.16363,2.64422,0.98005,0.001802,0.001802,0.001802
22,196.31,0.92982,0.6849,1.10209,1.09205,0.706,0.88,0.8282,0.59687,0.706,0.88,0.81086,0.67073,0.80456,0.14868,2.39146,0.8797,0.0017921,0.0017921,0.0017921
23,205.668,1.01313,0.55813,1.11445,1.13203,0.79576,0.8,0.82297,0.62161,0.83685,0.84,0.89078,0.72395,0.75523,0.14865,1.69172,0.83663,0.0017822,0.0017822,0.0017822
24,213.788,0.90114,0.59351,1.06999,1.0717,0.8841,0.84,0.92944,0.63523,0.8841,0.84,0.93182,0.76479,0.77888,0.12903,1.00155,0.8574,0.0017723,0.0017723,0.0017723
25,222.804,0.92257,0.44892,1.10814,1.07238,0.66783,0.72,0.77323,0.55112,0.78457,0.84,0.85706,0.68674,0.79239,0.14846,2.55262,0.91341,0.0017624,0.0017624,0.0017624
26,231.937,0.94751,0.5738,1.05259,1.10366,0.79701,0.78562,0.89045,0.62153,0.92782,0.68,0.88842,0.77893,0.89264,0.1348,1.21809,0.95968,0.0017525,0.0017525,0.0017525
27,240.054,1.00762,0.548,1.19326,1.14346,0.74417,0.76,0.80374,0.57976,0.74417,0.76,0.80374,0.68628,0.80476,0.14121,1.26577,0.85488,0.0017426,0.0017426,0.0017426
28,249.465,0.88626,0.51106,0.97914,1.09374,0.71253,0.84,0.82012,0.62546,0.77991,0.88,0.86523,0.76518,0.73459,0.12608,2.77063,0.83075,0.0017327,0.0017327,0.0017327
29,259.002,0.89742,0.51623,1.57339,1.04394,0.8269,0.72,0.85037,0.65256,0.8269,0.72,0.85074,0.70984,0.78775,0.19809,1.78995,0.79279,0.0017228,0.0017228,0.0017228
30,267.036,0.97184,0.57751,1.23723,1.09283,0.54361,0.84,0.79034,0.60351,0.75494,0.61658,0.82554,0.70938,0.76775,0.14652,2.89881,0.79599,0.0017129,0.0017129,0.0017129
31,276.42,0.83247,0.61172,1.01348,1.05221,0.83115,0.78793,0.83941,0.58876,0.85641,0.71591,0.86546,0.70188,0.84259,0.16725,1.14325,0.87254,0.001703,0.001703,0.001703
32,285.897,0.87131,0.52705,1.01123,1.02675,0.77544,0.72,0.7544,0.55143,0.70327,0.72,0.75766,0.63638,0.78296,0.19748,1.74831,0.80692,0.0016931,0.0016931,0.0016931
33,293.93,0.89756,0.54461,1.07797,1.0695,0.67811,0.76,0.73892,0.54885,0.60569,0.8,0.74365,0.6043,0.91536,0.12149,1.61192,1.01727,0.0016832,0.0016832,0.0016832
34,303.281,0.86779,0.45204,1.12159,1.0978,0.66165,0.8,0.75598,0.56302,0.7666,0.78861,0.77884,0.66934,0.75373,0.12616,4.03551,0.849,0.0016733,0.0016733,0.0016733
35,312.564,0.83678,0.44516,0.98191,1.03103,1,0.77646,0.94411,0.65563,1,0.77646,0.93335,0.79197,0.8748,0.1473,1.39421,0.90352,0.0016634,0.0016634,0.0016634
36,320.637,0.87653,0.50217,1.02947,1.07851,0.7722,0.8,0.82801,0.64742,0.73585,0.89169,0.87934,0.73078,0.76136,0.1558,2.56601,0.85204,0.0016535,0.0016535,0.0016535
37,329.895,0.8096,0.45941,0.91909,1.0435,0.91277,0.8,0.93125,0.71025,0.91277,0.8,0.93125,0.79617,0.66987,0.14736,1.10735,0.81145,0.0016436,0.0016436,0.0016436
38,338.622,0.81026,0.54829,0.97587,0.99706,0.76576,0.88,0.87016,0.63551,0.76576,0.88,0.86772,0.75728,0.77212,0.14111,0.85035,0.82243,0.0016337,0.0016337,0.0016337
39,347.194,0.78263,0.49364,1.00134,1.01765,0.81307,0.6964,0.79324,0.598,0.81307,0.6964,0.81631,0.69167,0.70106,0.14611,1.22043,0.84237,0.0016238,0.0016238,0.0016238
40,356.398,0.8142,0.56056,0.89833,1.02791,0.95891,0.72,0.89484,0.70842,0.95891,0.72,0.87703,0.76351,0.6273,0.14913,1.49858,0.78526,0.0016139,0.0016139,0.0016139
41,364.546,0.85298,0.51827,1.08404,1.01437,0.84719,0.88726,0.95028,0.74758,0.84719,0.88726,0.93549,0.79715,0.71291,0.16958,0.95695,0.79495,0.001604,0.001604,0.001604
42,373.543,0.81961,0.5293,0.95005,1.05411,0.87009,0.88,0.96227,0.81437,0.87009,0.88,0.96227,0.88126,0.66881,0.11592,2.0646,0.81164,0.0015941,0.0015941,0.0015941
43,382.787,0.82661,0.50311,1.29498,1.01835,0.8372,0.82317,0.90541,0.69641,0.8372,0.82317,0.87816,0.77537,0.84972,0.14485,0.94801,0.83043,0.0015842,0.0015842,0.0015842
44,390.903,0.77785,0.47355,0.90967,1.01762,0.81401,0.92,0.91392,0.73933,0.8571,0.88,0.89859,0.79313,0.69197,0.11396,1.70162,0.78497,0.0015743,0.0015743,0.0015743
45,400.396,0.7406,0.40854,0.96859,1.004,0.64289,0.96,0.88842,0.66275,0.74595,0.76,0.86225,0.79224,0.87234,0.11766,1.08476,0.90235,0.0015644,0.0015644,0.0015644
46,409.895,0.83045,0.48231,1.05905,1.101,0.62886,0.92,0.80361,0.60043,0.62886,0.92,0.78288,0.63803,0.74264,0.16033,2.54056,0.82775,0.0015545,0.0015545,0.0015545
47,418.164,0.80353,0.52928,1.02256,1.03065,0.83,0.84,0.90871,0.68371,0.83,0.84,0.89823,0.7796,0.71314,0.14067,1.2076,0.86465,0.0015446,0.0015446,0.0015446
