frame,direction,error_raw,error_filtered,angle_deg,v,straight_boost,left_cmd,right_cmd,fps
0,left,-4.7954,-1.4386,-2.77,30.9,0.0,61.8,0.0,0.2
1,left,-4.7954,-2.4456,-2.77,30.9,0.0,61.8,0.0,7.5
2,left,-4.7954,-3.1506,-2.77,30.9,0.0,61.8,0.0,18.7
3,left,-4.7954,-3.6440,-2.77,30.9,0.0,61.8,0.0,28.4
4,left,-4.8096,-3.9937,-2.76,30.9,0.0,61.8,0.0,29.9
5,left,-5.5626,-4.4644,-2.40,30.8,0.0,61.6,0.0,32.0
6,left,-5.5626,-4.7939,-2.40,30.8,0.0,61.6,0.0,33.4
7,left,-10.7578,-6.5830,-1.27,30.4,0.0,60.8,0.0,34.4
8,left,11.6368,-1.1171,1.19,30.4,0.0,0.0,60.8,35.6
9,left,-606.4147,-182.7064,-0.02,30.0,0.0,60.0,0.0,36.5
10,left,-606.4147,-309.8189,-0.02,30.0,0.0,60.0,0.0,37.5
11,left,-9.9654,-219.8629,-1.41,30.5,0.0,0.0,60.9,38.4
12,left,-7.0493,-156.0188,-2.02,30.7,0.0,0.0,61.3,39.7
13,left,-7.0493,-111.3280,-2.02,30.7,0.0,0.0,61.3,40.9
14,left,-6.9581,-80.0170,-2.07,30.7,0.0,0.0,61.4,41.8
15,left,-6.9581,-58.0993,-2.07,30.7,0.0,0.0,61.4,42.8
16,left,-3.6221,-41.7562,-4.11,31.4,0.0,0.0,62.7,43.4
17,left,-2.8655,-30.0890,-5.20,31.7,0.0,0.0,63.5,44.3
18,left,-2.8655,-21.9219,-5.20,31.7,0.0,0.0,63.5,45.0
19,left,-2.4714,-16.0868,-5.87,32.0,0.0,0.0,63.9,45.6
20,left,-2.3843,-11.9760,-5.86,32.0,0.0,0.0,63.9,46.3
21,left,-2.3843,-9.0985,-5.86,32.0,0.0,0.0,63.9,46.8
22,left,-2.4865,-7.1149,-5.40,31.8,0.0,0.0,63.6,47.3
23,left,-2.4865,-5.7264,-5.40,31.8,0.0,0.0,63.6,47.7
24,left,-2.2128,-4.6723,-5.79,31.9,0.0,0.0,63.9,47.8
25,left,-1.7468,-3.7947,-6.85,32.3,0.0,0.0,64.6,48.2
26,left,-1.7468,-3.1803,-6.85,32.3,0.0,1.6,62.9,48.5
27,left,-1.6902,-2.7333,-6.70,32.2,0.0,23.4,41.0,48.8
28,left,-1.3003,-2.3034,-7.81,32.6,0.0,13.7,51.5,49.1
29,left,-1.3003,-2.0025,-7.81,32.6,0.0,31.0,34.2,49.3
30,left,-1.0897,-1.7286,-8.30,32.8,0.0,28.8,36.7,49.4
31,left,-1.0897,-1.5370,-8.30,32.8,0.0,47.7,17.8,49.2
32,left,-0.9277,-1.3542,-8.72,32.9,0.0,44.8,21.0,48.2
33,left,-1.1997,-1.3078,-7.30,32.4,0.0,62.5,2.4,47.4
34,left,-1.1979,-1.2748,-7.30,32.4,0.0,63.6,1.3,47.3
35,left,-1.1979,-1.2517,-7.30,32.4,0.0,64.9,0.0,46.6
36,left,-2.3641,-1.5854,-4.58,31.5,0.0,63.1,0.0,45.2
37,left,-2.3762,-1.8227,-4.64,31.5,0.0,63.1,0.0,45.0
38,left,-6.6021,-3.2565,-1.95,30.7,0.0,61.3,0.0,44.1
39,left,-8.8651,-4.9391,-1.50,30.5,0.0,61.0,0.0,43.4
40,left,-8.8651,-6.1169,-1.50,30.5,0.0,61.0,0.0,43.2
41,right,51.0796,11.0420,0.27,30.1,0.0,0.0,60.2,41.5
42,right,51.0796,23.0533,0.27,30.1,0.0,0.0,60.2,40.2
43,right,7.2526,18.3131,1.94,30.6,0.0,61.3,0.0,40.3
44,right,-10.7704,9.5880,-1.29,30.4,0.0,60.9,0.0,40.3
45,right,-10.7704,3.4805,-1.29,30.4,0.0,60.9,0.0,39.7
46,right,-5.2828,0.8515,-2.62,30.9,0.0,61.7,0.0,40.2
47,right,35.6458,11.2898,0.39,30.1,0.0,0.0,60.3,40.0
48,right,35.6458,18.5966,0.39,30.1,0.0,0.0,60.3,40.3
49,right,18.5508,18.5829,0.75,30.2,0.0,0.0,60.5,39.8
50,right,18.5508,18.5732,0.75,30.2,0.0,0.0,60.5,38.7
51,right,-5.1423,11.4586,-2.79,30.9,0.0,61.9,0.0,37.9
52,right,-4.2921,6.7334,-3.31,31.1,0.0,62.2,0.0,38.0
53,right,-5.9603,2.9253,-2.34,30.8,0.0,61.6,0.0,37.9
54,right,-5.9603,0.2596,-2.34,30.8,0.0,61.6,0.0,38.9
55,left,-5.9603,-1.6064,-2.34,30.8,0.0,61.6,0.0,39.6
56,left,-17.8908,-6.4917,-0.78,30.3,0.0,60.5,0.0,39.7
57,right,25.0210,2.9621,0.56,30.2,0.0,0.0,60.4,39.6
58,right,14.1459,6.3173,0.98,30.3,0.0,0.0,60.7,39.5
59,right,14.2407,8.6943,0.96,30.3,0.0,0.0,60.6,39.6
60,right,87.6642,32.3853,0.16,30.1,0.0,0.0,60.1,39.0
61,right,87.6642,48.9690,0.16,30.1,0.0,0.0,60.1,39.2
62,right,-12.9774,30.3850,-1.11,30.4,0.0,60.7,0.0,39.6
63,right,-7.8439,18.9164,-1.85,30.6,0.0,61.2,0.0,39.8
64,right,-5.6686,11.5409,-2.57,30.9,0.0,61.7,0.0,38.6
65,right,-7.7250,5.7611,-1.85,30.6,0.0,61.2,0.0,39.1
66,left,-18.1306,-1.4064,-0.78,30.3,0.0,60.5,0.0,39.2
67,right,59.1112,16.7489,0.24,30.1,0.0,0.0,60.2,40.2
68,right,59.1112,29.4576,0.24,30.1,0.0,0.0,60.2,40.4
69,right,30.2201,29.6864,0.46,30.2,0.0,0.0,60.3,40.5
70,right,-60.2758,2.6977,-0.23,30.1,0.0,60.2,0.0,41.3
71,left,-7.8069,-0.4537,-1.89,30.6,0.0,61.3,0.0,42.2
72,left,-7.8069,-2.6596,-1.89,30.6,0.0,61.3,0.0,43.2
73,left,-5.7934,-3.5997,-2.58,30.9,0.0,61.7,0.0,43.5
74,left,-5.7934,-4.2578,-2.58,30.9,0.0,61.7,0.0,44.1
75,left,-17.7806,-8.3147,-0.80,30.3,0.0,60.5,0.0,43.6
76,right,40.1570,6.2268,0.34,30.1,0.0,0.0,60.2,44.2
77,right,16.5327,9.3186,0.82,30.3,0.0,0.0,60.5,45.0
78,right,16.5327,11.4828,0.82,30.3,0.0,0.0,60.5,45.5
79,right,5.6849,9.7434,2.21,30.7,0.0,61.5,0.0,46.0
80,right,5.6849,8.5259,2.21,30.7,0.0,27.8,33.7,46.6
81,right,7.1786,8.1217,1.79,30.6,0.0,0.0,61.2,47.0
82,right,14.6967,10.0942,0.92,30.3,0.0,0.0,60.6,47.5
83,right,14.6967,11.4750,0.92,30.3,0.0,0.0,60.6,47.9
84,right,9.1581,10.7799,1.43,30.5,0.0,0.0,61.0,47.9
85,right,44.5884,20.9225,0.31,30.1,0.0,0.0,60.2,48.3
86,right,44.5884,28.0222,0.31,30.1,0.0,0.0,60.2,48.7
87,right,-0.6469,19.4215,0.00,30.0,0.0,60.0,0.0,48.9
88,right,-0.6469,13.4010,0.00,30.0,0.0,60.0,0.0,48.9
89,right,-4.7146,7.9663,-3.37,31.1,0.0,62.2,0.0,48.6
90,right,-5.2287,4.0078,-2.95,31.0,0.0,62.0,0.0,48.8
91,right,-5.2287,1.2368,-2.95,31.0,0.0,62.0,0.0,48.8
92,left,-12.6298,-2.9232,-1.15,30.4,0.0,60.8,0.0,48.8
93,left,-24.3872,-9.3624,-0.59,30.2,0.0,60.4,0.0,48.8
94,left,-24.3872,-13.8698,-0.59,30.2,0.0,60.4,0.0,48.9
95,left,10.2400,-6.6369,1.29,30.4,0.0,0.0,60.9,49.1
96,left,3.3545,-3.6395,3.45,31.2,0.0,0.0,62.3,49.2
97,left,3.3545,-1.5413,3.45,31.2,0.0,0.0,62.3,49.0
98,left,-0.6777,-1.2822,71.09,53.7,0.0,31.9,75.5,49.0
99,left,-0.7683,-1.1280,86.72,58.9,0.0,63.2,54.6,49.2
100,left,-0.7683,-1.0201,86.72,58.9,0.0,72.8,45.0,49.6
101,left,-0.7656,-0.9438,90.00,60.0,0.0,82.2,37.8,49.8
102,left,-0.7656,-0.8903,90.00,60.0,0.0,89.1,30.9,50.1
103,left,0.3035,-0.5322,13.16,34.4,0.0,0.0,68.8,50.0
104,left,-0.7296,-0.5914,82.64,57.5,0.0,100.0,5.4,50.2
105,left,-0.7296,-0.6329,82.64,57.5,0.0,100.0,9.7,50.5
106,left,-0.7756,-0.6757,86.94,59.0,0.0,100.0,7.9,50.4
107,left,-0.8049,-0.7145,88.54,59.5,0.0,100.0,7.2,50.4
108,left,-0.8049,-0.7416,88.54,59.5,0.0,100.0,9.5,50.7
109,left,-0.8494,-0.7739,88.86,59.6,0.0,100.0,5.8,50.9
110,left,-0.8494,-0.7966,88.86,59.6,0.0,100.0,8.6,51.1
111,left,-1.0023,-0.8583,-67.68,52.6,0.0,100.0,0.0,50.7
112,left,-3.6546,-1.6972,-8.16,32.7,0.0,65.4,0.0,50.1
113,left,-3.6546,-2.2844,-8.16,32.7,0.0,65.4,0.0,50.4
114,left,-3.4697,-2.6400,-8.09,32.7,0.0,65.4,0.0,50.5
115,left,-2.9186,-2.7236,-8.65,32.9,0.0,65.8,0.0,50.6
116,left,-2.9186,-2.7821,-8.65,32.9,0.0,65.8,0.0,50.7
117,left,-2.4960,-2.6962,-9.64,33.2,0.0,66.4,0.0,50.8
118,left,-2.4960,-2.6362,-9.64,33.2,0.0,66.4,0.0,50.7
119,left,-2.3384,-2.5468,-10.03,33.3,0.0,66.7,0.0,50.4
120,left,-2.2482,-2.4572,-9.55,33.2,0.0,66.4,0.0,50.2
121,left,-2.2482,-2.3945,-9.55,33.2,0.0,66.4,0.0,49.9
122,left,-2.1889,-2.3328,-9.73,33.2,0.0,66.5,0.0,49.6
123,left,-2.2776,-2.3163,-8.88,33.0,0.0,65.9,0.0,49.5
124,left,-2.2776,-2.3047,-8.88,33.0,0.0,65.9,0.0,49.5
125,left,-2.2979,-2.3026,-8.64,32.9,0.0,65.8,0.0,48.0
126,left,-2.4202,-2.3379,-7.86,32.6,0.0,65.2,0.0,47.7
127,left,-2.4117,-2.3600,-7.88,32.6,0.0,65.3,0.0,47.5
128,left,-2.4117,-2.3755,-7.88,32.6,0.0,65.3,0.0,47.6
129,left,-2.3684,-2.3734,-7.96,32.7,0.0,65.3,0.0,47.4
130,left,-2.3823,-2.3761,-7.64,32.5,0.0,65.1,0.0,47.6
131,left,-2.3823,-2.3779,-7.64,32.5,0.0,65.1,0.0,47.6
132,left,-2.3711,-2.3759,-7.66,32.6,0.0,65.1,0.0,47.5
133,left,-2.1783,-2.3166,-8.25,32.8,0.0,65.5,0.0,47.6
134,left,-2.1783,-2.2751,-8.25,32.8,0.0,65.5,0.0,47.8
