frame,detector,direction,error_raw,error_filtered,angle_deg,v,straight_boost,left_cmd,right_cmd,fps,x_bottom,center,line_pixels,error_direction
70,THRESH,left,-9.0344,-22.3062,0.86,33.2,0.0,66.4,0.0,15.8,-1285.50,160.00,9449,LEFT
71,THRESH,left,-17.2008,-20.2640,0.44,33.1,0.0,66.2,0.0,16.0,-2592.12,160.00,9362,LEFT
72,THRESH,left,-17.2008,-19.0387,0.44,33.1,0.0,66.2,0.0,18.1,-2592.12,160.00,9362,LEFT
73,THRESH,left,-17.0886,-18.2587,0.44,33.1,0.0,66.2,0.0,19.8,-2574.18,160.00,9229,LEFT
74,THRESH,left,-15.3554,-17.0974,0.49,33.1,0.0,66.2,0.0,21.3,-2296.86,160.00,9202,LEFT
75,THRESH,left,-14.1145,-15.9042,0.53,33.1,0.0,66.3,0.0,20.6,-2098.31,160.00,8939,LEFT
76,THRESH,left,-16.7080,-16.2257,0.45,33.1,0.0,66.2,0.0,19.8,-2513.27,160.00,9367,LEFT
77,THRESH,left,-16.3325,-16.2684,0.46,33.1,0.0,66.2,0.0,19.0,-2453.20,160.00,9349,LEFT
78,THRESH,left,-17.1143,-16.6068,0.44,33.1,0.0,66.2,0.0,18.3,-2578.29,160.00,9342,LEFT
79,THRESH,left,0.9892,-9.5684,-85.50,53.9,0.0,0.0,100.0,17.6,318.27,160.00,865,RIGHT
80,THRESH,left,0.9538,-5.3595,-83.82,53.5,0.0,0.0,100.0,19.3,312.61,160.00,1909,RIGHT
81,THRESH,left,0.9252,-2.8456,-79.63,52.5,0.0,0.0,100.0,20.1,308.03,160.00,2948,RIGHT
82,THRESH,left,0.9111,-1.3429,-80.74,52.7,0.0,0.0,100.0,20.4,305.78,160.00,3147,RIGHT
83,THRESH,left,0.9493,-0.4260,-86.78,54.2,0.0,0.0,100.0,20.8,311.89,160.00,1694,RIGHT
84,THRESH,left,-12.9485,-5.4350,0.58,33.1,0.0,66.3,0.0,21.7,-1911.76,160.00,9150,LEFT
85,THRESH,left,-13.8576,-8.8040,0.54,33.1,0.0,66.3,0.0,20.7,-2057.22,160.00,8798,LEFT
86,THRESH,left,-12.6786,-10.3539,0.58,33.1,0.0,66.3,0.0,19.8,-1868.58,160.00,8957,LEFT
87,THRESH,left,-14.8128,-12.1374,0.50,33.1,0.0,66.2,0.0,19.0,-2210.05,160.00,8939,LEFT
88,THRESH,left,-12.6674,-12.3494,0.59,33.1,0.0,66.3,0.0,18.3,-1866.78,160.00,9053,LEFT
89,THRESH,left,0.9785,-7.0183,-85.13,53.8,0.0,0.0,100.0,17.7,316.55,160.00,1167,RIGHT
90,THRESH,left,0.9361,-3.8365,-82.41,53.1,0.0,0.0,100.0,19.0,309.77,160.00,2460,RIGHT
91,THRESH,left,1.8620,-1.5571,-8.17,35.0,0.0,0.0,70.0,19.4,457.93,160.00,5045,RIGHT
92,THRESH,left,1.7780,-0.2231,-8.92,35.2,0.0,0.0,70.4,19.3,444.48,160.00,4785,RIGHT
93,THRESH,right,0.9458,0.2445,-86.90,54.2,0.0,0.0,100.0,19.3,311.33,160.00,1785,RIGHT
94,THRESH,left,-5.8997,-2.2132,1.18,33.3,0.0,66.6,0.0,20.1,-783.95,160.00,6322,LEFT
95,THRESH,left,-10.1242,-5.3776,0.72,33.2,0.0,66.4,0.0,19.6,-1459.87,160.00,8632,LEFT
96,THRESH,left,-7.3194,-6.1543,0.97,33.2,0.0,66.5,0.0,18.9,-1011.10,160.00,8040,LEFT
97,THRESH,left,-9.1481,-7.3518,0.80,33.2,0.0,66.4,0.0,18.3,-1303.69,160.00,8446,LEFT
98,THRESH,left,-7.9536,-7.5925,0.90,33.2,0.0,66.4,0.0,17.8,-1112.58,160.00,6756,LEFT
99,THRESH,left,0.9199,-4.1875,-82.68,53.2,0.0,0.0,100.0,17.5,307.19,160.00,2815,RIGHT
