time,mode,x_bottom,left,right,error,angle
08:45:19,PID,37.6,19,40,-0.765,86.5
08:45:20,PID,37.6,21,38,-0.765,86.8
08:45:20,PID,85.5,28,31,-0.466,86.4
08:45:20,PID,147.0,33,26,-0.081,83.8
08:45:21,PID,170.2,32,27,0.064,81.3
08:45:21,PID,167.8,30,29,0.049,80.0
08:45:21,PID,163.6,29,30,0.023,79.8
08:45:22,PID,156.4,29,30,-0.022,71.5
08:45:22,PID,108.9,23,36,-0.319,53.5
08:45:22,PID,53.6,19,40,-0.665,38.5
08:45:23,START_RIGHT_TURN,,19,40,0.000,19.0
08:45:23,PID,3.8,-9,54,-0.977,2.9
08:45:23,PID_FALLBACK,,19,40,0.000,0.0
08:45:24,PID,30.5,23,36,-0.809,82.9
08:45:24,PID,-816.5,-9,54,-6.103,84.5
08:45:25,START_LEFT_TURN,,-9,54,0.000,1.2
08:45:25,PID,-4665.6,-9,54,-30.160,3.3
08:45:25,START_LEFT_TURN,,-9,54,0.000,0.1
08:45:26,PID,161.1,36,23,0.007,26.9
08:45:26,START_LEFT_TURN,,36,23,0.000,33.5
08:45:26,MANEUVER_LEFT,,-45,45,0.000,0.0
08:45:27,PID,226188.6,54,-9,1412.679,0.3
08:45:27,START_LEFT_TURN,,54,-9,0.000,14.4
08:45:28,PID,1530.2,54,-9,8.563,6.5
08:45:28,START_LEFT_TURN,,54,-9,0.000,6.5
08:45:28,MANEUVER_LEFT,,-45,45,0.000,0.0
08:45:29,MANEUVER_LEFT,,-45,45,0.000,0.0
08:45:29,MANEUVER_LEFT,,-45,45,0.000,0.0
08:45:29,PID,-155.7,-9,54,-1.973,43.5
08:45:30,PID,148.6,49,10,-0.072,55.3
08:45:30,PID_FALLBACK,,29,30,0.000,0.0
08:45:30,PID_FALLBACK,,29,30,0.000,0.0
08:45:31,PID_FALLBACK,,29,30,0.000,0.0
08:45:31,SEARCH_RIGHT,,45,-45,0.000,0.0
08:45:31,START_RIGHT_TURN,,45,-45,0.000,15.9
08:45:32,MANEUVER_RIGHT,,45,-45,0.000,0.0
08:45:32,MANEUVER_RIGHT,,45,-45,0.000,0.0
08:45:32,MANEUVER_RIGHT,,45,-45,0.000,0.0
08:45:33,PID,93.5,-9,54,-0.415,78.2
08:45:33,PID_FALLBACK,,25,34,0.000,0.0
08:45:34,PID_FALLBACK,,25,34,0.000,0.0
08:45:34,PID,0.5,13,46,-0.997,83.5
08:45:34,PID,14.6,21,38,-0.908,82.8
08:45:34,PID,94.6,30,29,-0.409,87.6
08:45:35,PID,246.5,45,14,0.540,45.4
08:45:35,START_LEFT_TURN,,45,14,0.000,21.9
08:45:36,PID,-170.7,-9,54,-2.067,2.7
08:45:36,PID_FALLBACK,,8,51,0.000,0.0
08:45:36,PID_FALLBACK,,8,51,0.000,0.0
08:45:37,PID_FALLBACK,,8,51,0.000,0.0
08:45:37,START_RIGHT_TURN,,8,51,0.000,8.5
08:45:37,PID,-1268.9,-9,54,-8.931,7.3
08:45:38,START_RIGHT_TURN,,-9,54,0.000,15.2
08:45:38,PID,480490.3,54,-9,3002.064,0.0
08:45:38,PID_FALLBACK,,54,-9,0.000,0.0
08:45:39,PID_FALLBACK,,54,-9,0.000,0.0
08:45:39,PID_FALLBACK,,54,-9,0.000,0.0
08:45:39,SEARCH_RIGHT,,45,-45,0.000,0.0
08:45:40,SEARCH_RIGHT,,45,-45,0.000,0.0
08:45:40,START_LEFT_TURN,,45,-45,0.000,7.6
